id,Education,Field,Statistics Experience,Data vis experience,trial vis type,trial reported percent,trial true percent,trial log error
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,spiral,.6,0.7384621174542623,3.804385248297865
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,bar,.4,0.3809130745691108,1.0241015867230638
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,bar,.4,0.4275233319172886,1.5247322931042833
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,spiral,.6,0.6313582635649768,1.7052376176304802
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,pie,.6,0.6999385622968711,3.3389743211830436
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,spiral,.5,0.50054676349746,-2.476527571123711
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,pie,.85,0.861018639311819,0.2949752516946877
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,pie,.75,0.7171041638685738,1.7717096617131132
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,pie,.9,0.9738588495401919,2.9089829002240495
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,bar,0.49,0.48438667050650386,-0.5430194778975139
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,bar,0.6,0.6332422178542373,1.786270897266068
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,pie,0.8,0.7086692256320566,3.210712629729821
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,bar,0.75,0.7753798313250817,1.4130432904622041
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,pie,0.5,0.454665739166376,2.219842601816041
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,spiral,0.8,0.9424225677770105,3.84471272098258
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,spiral,0.75,0.8284470975452783,2.9945271842749555
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,bar,0.6,0.7066437931120447,3.4315399670901425
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,bar,0.9,0.944969304664358,2.208495555676848
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,spiral,.95,0.8634150041344918,3.1347958634771698
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,spiral,0.6,0.7703182653254246,4.100710819685105
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,pie,0.3,0.2927599611377586,-0.23615693731227422
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,pie,0.25,0.2805399417262329,1.6685703718910558
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,spiral,0.5,0.6875122122276932,4.238498079459605
-MVRonVkVNi4fvEVoHIy,Bachelors Degree (BS),Aerospace Engineering,Not familiar,No Formal Education,bar,0.9,0.9487752619074137,2.3226568153851437
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,pie,0.66,0.790136644507878,3.715746727613709
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,pie,0.25,0.19364451437327848,2.5262062024598793
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,pie,0.5,0.5594419372676815,2.60150487172743
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,spiral,0.8,0.5292505582756101,4.7655317852516506
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,bar,0.75,0.7553858176587122,-0.5916538509211894
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,spiral,0.6,0.46075469814307046,3.8124499826215685
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,spiral,1,0.926226664877964,2.907339398657509
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,pie,0.75,0.8422221287543843,3.224536250539912
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,bar,0.66,0.6832394034541458,1.2921576312221197
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,bar,0.75,0.8164518525258436,2.759195310805913
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,spiral,0.6,0.8916609972475585,4.872390454634778
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,bar,0.5,0.5258174026556831,1.4365564555046264
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,pie,1,0.9554650582973694,2.1948731855916765
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,bar,0.33,0.3389265483207071,0.025248311412295804
-MVRqjavoCr3RBqC8e7h,Bachelors Degree (BS),Software engineering,A lot of statistics experience,Knowledgable,pie,0.66,0.8057446238091652,3.877691485692592
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,bar,.8,0.753743154702966,2.248135407434181
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,bar,.85,0.8318416715475936,0.9566758708971217
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,spiral,.7,0.7864052807293626,3.131841007728384
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,spiral,0.41,0.4730209377245404,2.684166521708202
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,bar,.4,0.36051989679316154,2.0260954700203224
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,bar,0.85,0.8721235458793885,1.224876614504026
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,pie,.7,0.7702762170093367,2.8384721400269273
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,pie,.85,0.9515865370057445,3.362281028600601
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,spiral,0.78,0.8001993224571244,1.1009320764807677
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,pie,.8,0.8561169585917682,2.5202200330520164
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,spiral,.4,0.4186157476594214,0.9902830911477091
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,bar,.45,0.4702062491718444,1.1013978964982454
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,pie,0.7,0.7766633166354984,2.9618699290840587
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,pie,.4,0.4681756825650534,2.7954694561042848
-MVRr5-YyPkIjdX6R014,Masters Degree,cs,Some Basic Statistics Training,Passing Knowledge,bar,.9,0.8562724714817156,2.1692043882749923
-MVRrOKMNR3ykSfAUNlB,Masters Degree,Computer Science student,Some Basic Statistics Training,Knowledgable,spiral,0.8,0.7432606716021974,2.5357874298245293
-MVRrOKMNR3ykSfAUNlB,Masters Degree,Computer Science student,Some Basic Statistics Training,Knowledgable,spiral,0.5,0.5762801528343496,2.954757508893594
-MVRrOKMNR3ykSfAUNlB,Masters Degree,Computer Science student,Some Basic Statistics Training,Knowledgable,pie,0.9,0.7758021210011639,3.649016173576029
-MVRrOKMNR3ykSfAUNlB,Masters Degree,Computer Science student,Some Basic Statistics Training,Knowledgable,bar,0.95,0.9413389242562775,-0.01288643950328727
-MVRrOKMNR3ykSfAUNlB,Masters Degree,Computer Science student,Some Basic Statistics Training,Knowledgable,bar,0.6,0.5044098977397309,3.275604602780729
-MVRrOKMNR3ykSfAUNlB,Masters Degree,Computer Science student,Some Basic Statistics Training,Knowledgable,spiral,0.4,0.5756705422416023,4.145029663941697
-MVRrOKMNR3ykSfAUNlB,Masters Degree,Computer Science student,Some Basic Statistics Training,Knowledgable,spiral,0.85,0.9145369847224387,2.7178021898313895
